lat,lon,elevation
32.5,-124.5,754
32.5,-124.39393939393939,379
32.5,-124.28787878787878,0
32.5,-124.18181818181819,675
32.5,-124.07575757575758,766
32.5,-123.96969696969697,1035
32.5,-123.86363636363636,477
32.5,-123.75757575757575,476
32.5,-123.65151515151516,0
32.5,-123.54545454545455,93
32.5,-123.43939393939394,373
32.5,-123.33333333333333,1157
32.5,-123.22727272727273,832
32.5,-123.12121212121212,1082
32.5,-123.01515151515152,537
32.5,-122.9090909090909,446
32.5,-122.8030303030303,37
32.5,-122.6969696969697,260
32.5,-122.5909090909091,0
32.5,-122.48484848484848,806
32.5,-122.37878787878788,234
32.5,-122.27272727272727,267
32.5,-122.16666666666667,281
32.5,-122.06060606060606,263
32.5,-121.95454545454545,483
32.5,-121.84848484848484,357
32.5,-121.74242424242425,1007
32.5,-121.63636363636364,554
32.5,-121.53030303030303,703
32.5,-121.42424242424242,49
32.5,-121.31818181818181,247
32.5,-121.21212121212122,622
32.5,-121.10606060606061,479
32.5,-121.0,1938
32.5,-120.89393939393939,552
32.5,-120.78787878787878,0
32.5,-120.68181818181819,1298
32.5,-120.57575757575758,650
32.5,-120.46969696969697,976
32.5,-120.36363636363636,678
32.5,-120.25757575757575,838
32.5,-120.15151515151516,527
32.5,-120.04545454545455,517
32.5,-119.93939393939394,134
32.5,-119.83333333333333,114
32.5,-119.72727272727273,430
32.5,-119.62121212121212,938
32.5,-119.51515151515152,23
32.5,-119.4090909090909,1031
32.5,-119.3030303030303,151
32.5,-119.1969696969697,991
32.5,-119.0909090909091,996
32.5,-118.98484848484848,772
32.5,-118.87878787878788,575
32.5,-118.77272727272727,1315
32.5,-118.66666666666667,818
32.5,-118.56060606060606,685
32.5,-118.45454545454545,437
32.5,-118.34848484848484,300
32.5,-118.24242424242425,596
32.5,-118.13636363636364,155
32.5,-118.03030303030303,908
32.5,-117.92424242424242,194
32.5,-117.81818181818181,275
32.5,-117.71212121212122,667
32.5,-117.60606060606061,995
32.5,-117.5,190
32.5,-117.39393939393939,669
32.5,-117.28787878787878,908
32.5,-117.18181818181819,1077
32.5,-117.07575757575758,331
32.5,-116.96969696969697,687
32.5,-116.86363636363636,846
32.5,-116.75757575757575,30
32.5,-116.65151515151516,809
32.5,-116.54545454545455,595
32.5,-116.43939393939394,589
32.5,-116.33333333333333,213
32.5,-116.22727272727272,1344
32.5,-116.12121212121212,694
32.5,-116.01515151515152,733
32.5,-115.9090909090909,836
32.5,-115.8030303030303,1185
32.5,-115.6969696969697,592
32.5,-115.5909090909091,442
32.5,-115.48484848484848,621
32.5,-115.37878787878788,671
32.5,-115.27272727272727,330
32.5,-115.16666666666667,545
32.5,-115.06060606060606,544
32.5,-114.95454545454545,961
32.5,-114.84848484848484,818
32.5,-114.74242424242425,0
32.5,-114.63636363636364,329
32.5,-114.53030303030303,146
32.5,-114.42424242424242,630
32.5,-114.31818181818181,1076
32.5,-114.21212121212122,827
32.5,-114.10606060606061,546
32.5,-114.0,812
32.5959595959596,-124.5,0
32.5959595959596,-124.39393939393939,1428
32.5959595959596,-124.28787878787878,143
32.5959595959596,-124.18181818181819,303
32.5959595959596,-124.07575757575758,217
32.5959595959596,-123.96969696969697,467
32.5959595959596,-123.86363636363636,141
32.5959595959596,-123.75757575757575,0
32.5959595959596,-123.65151515151516,1387
32.5959595959596,-123.54545454545455,30
32.5959595959596,-123.43939393939394,283
32.5959595959596,-123.33333333333333,185
32.5959595959596,-123.22727272727273,982
32.5959595959596,-123.12121212121212,257
32.5959595959596,-123.01515151515152,1291
32.5959595959596,-122.9090909090909,0
32.5959595959596,-122.8030303030303,997
32.5959595959596,-122.6969696969697,195
32.5959595959596,-122.5909090909091,523
32.5959595959596,-122.48484848484848,689
32.5959595959596,-122.37878787878788,0
32.5959595959596,-122.27272727272727,77
32.5959595959596,-122.16666666666667,583
32.5959595959596,-122.06060606060606,60
32.5959595959596,-121.95454545454545,708
32.5959595959596,-121.84848484848484,153
32.5959595959596,-121.74242424242425,1086
32.5959595959596,-121.63636363636364,825
32.5959595959596,-121.53030303030303,413
32.5959595959596,-121.42424242424242,557
32.5959595959596,-121.31818181818181,384
32.5959595959596,-121.21212121212122,560
32.5959595959596,-121.10606060606061,144
32.5959595959596,-121.0,504
32.5959595959596,-120.89393939393939,683
32.5959595959596,-120.78787878787878,631
32.5959595959596,-120.68181818181819,724
32.5959595959596,-120.57575757575758,99
32.5959595959596,-120.46969696969697,441
32.5959595959596,-120.36363636363636,277
32.5959595959596,-120.25757575757575,1097
32.5959595959596,-120.15151515151516,30
32.5959595959596,-120.04545454545455,1250
32.5959595959596,-119.93939393939394,676
32.5959595959596,-119.83333333333333,911
32.5959595959596,-119.72727272727273,598
32.5959595959596,-119.62121212121212,1368
32.5959595959596,-119.51515151515152,703
32.5959595959596,-119.4090909090909,0
32.5959595959596,-119.3030303030303,1159
32.5959595959596,-119.1969696969697,74
32.5959595959596,-119.0909090909091,827
32.5959595959596,-118.98484848484848,284
32.5959595959596,-118.87878787878788,625
32.5959595959596,-118.77272727272727,609
32.5959595959596,-118.66666666666667,0
32.5959595959596,-118.56060606060606,668
32.5959595959596,-118.45454545454545,268
32.5959595959596,-118.34848484848484,348
32.5959595959596,-118.24242424242425,735
32.5959595959596,-118.13636363636364,794
32.5959595959596,-118.03030303030303,799
32.5959595959596,-117.92424242424242,614
32.5959595959596,-117.81818181818181,818
32.5959595959596,-117.71212121212122,294
32.5959595959596,-117.60606060606061,734
32.5959595959596,-117.5,664
32.5959595959596,-117.39393939393939,1400
32.5959595959596,-117.28787878787878,1148
32.5959595959596,-117.18181818181819,583
32.5959595959596,-117.07575757575758,764
32.5959595959596,-116.96969696969697,410
32.5959595959596,-116.86363636363636,975
32.5959595959596,-116.75757575757575,358
32.5959595959596,-116.65151515151516,617
32.5959595959596,-116.54545454545455,424
32.5959595959596,-116.43939393939394,542
32.5959595959596,-116.33333333333333,736
32.5959595959596,-116.22727272727272,0
32.5959595959596,-116.12121212121212,377
32.5959595959596,-116.01515151515152,1173
32.5959595959596,-115.9090909090909,0
32.5959595959596,-115.8030303030303,1268
32.5959595959596,-115.6969696969697,0
32.5959595959596,-115.5909090909091,1119
32.5959595959596,-115.48484848484848,588
32.5959595959596,-115.37878787878788,0
32.5959595959596,-115.27272727272727,642
32.5959595959596,-115.16666666666667,308
32.5959595959596,-115.06060606060606,0
32.5959595959596,-114.95454545454545,271
32.5959595959596,-114.84848484848484,292
32.5959595959596,-114.74242424242425,591
32.5959595959596,-114.63636363636364,950
32.5959595959596,-114.53030303030303,0
32.5959595959596,-114.42424242424242,0
32.5959595959596,-114.31818181818181,548
32.5959595959596,-114.21212121212122,519
32.5959595959596,-114.10606060606061,916
32.5959595959596,-114.0,573
32.69191919191919,-124.5,0
32.69191919191919,-124.39393939393939,490
32.69191919191919,-124.28787878787878,697
32.69191919191919,-124.18181818181819,0
32.69191919191919,-124.07575757575758,858
32.69191919191919,-123.96969696969697,367
32.69191919191919,-123.86363636363636,923
32.69191919191919,-123.75757575757575,0
32.69191919191919,-123.65151515151516,475
32.69191919191919,-123.54545454545455,0
32.69191919191919,-123.43939393939394,1004
32.69191919191919,-123.33333333333333,586
32.69191919191919,-123.22727272727273,462
32.69191919191919,-123.12121212121212,47
32.69191919191919,-123.01515151515152,464
32.69191919191919,-122.9090909090909,728
32.69191919191919,-122.8030303030303,502
32.69191919191919,-122.6969696969697,866
32.69191919191919,-122.5909090909091,494
32.69191919191919,-122.48484848484848,263
32.69191919191919,-122.37878787878788,126
32.69191919191919,-122.27272727272727,1023
32.69191919191919,-122.16666666666667,0
32.69191919191919,-122.06060606060606,481
32.69191919191919,-121.95454545454545,278
32.69191919191919,-121.84848484848484,250
32.69191919191919,-121.74242424242425,338
32.69191919191919,-121.63636363636364,495
32.69191919191919,-121.53030303030303,243
32.69191919191919,-121.42424242424242,670
32.69191919191919,-121.31818181818181,577
32.69191919191919,-121.21212121212122,332
32.69191919191919,-121.10606060606061,15
32.69191919191919,-121.0,0
32.69191919191919,-120.89393939393939,809
32.69191919191919,-120.78787878787878,844
32.69191919191919,-120.68181818181819,420
32.69191919191919,-120.57575757575758,514
32.69191919191919,-120.46969696969697,0
32.69191919191919,-120.36363636363636,1470
32.69191919191919,-120.25757575757575,0
32.69191919191919,-120.15151515151516,227
32.69191919191919,-120.04545454545455,680
32.69191919191919,-119.93939393939394,453
32.69191919191919,-119.83333333333333,181
32.69191919191919,-119.72727272727273,647
32.69191919191919,-119.62121212121212,653
32.69191919191919,-119.51515151515152,1413
32.69191919191919,-119.4090909090909,435
32.69191919191919,-119.3030303030303,243
